BR,US,UK,Name,Kind,Size,Rating,StrandN,StrandD,StrandA,CuBundD,Ins1Th,Ins2Th,Screen2Th,Tape2Th,Screen3Th,Tape3Th,JackTh,Diameter,Weight,EA,EI,GJ,MaxTension,MBR
#MATERIALS,,,,,,,,COPPER,,,XLPE-SCM,XLPE,XLPE-SCM,SCM-TAPE,COPPER,WB-TAPE,HDPE,,,,,,,
#6kV CuT,,,,CuT,,6kV,,,,,,,,,,,,,,,,,,
,,,95mm2 10kV OS,OS,95,10,19,2.5704,12,11.832,0.7,3.468,0.7,0.8,0.2,0.6,1.8,28.368,1.419580114,,,,,283
,,,120mm2 10kV OS,OS,120,10,37,2.0706,12,13.34386667,0.7,3.468,0.7,0.8,0.2,0.6,1.8,29.87986667,1.692497629,,,,,298
,,,150mm2 10kV OS,OS,150,10,37,2.295,12,14.79,0.7,3.468,0.7,0.8,0.2,0.6,1.8,31.326,1.983747425,,,,,313
,,,185mm2 10kV OS,OS,185,10,37,2.5704,12,16.5648,0.7,3.468,0.7,0.8,0.2,0.6,1.9,33.3008,2.38633033,,,,,333
,,,240mm2 10kV OS,OS,240,10,61,2.295,12,19.01571429,0.7,3.468,0.7,0.8,0.2,0.6,2,35.95171429,2.999893526,,,,,359
,,,300mm2 10kV OS,OS,300,10,61,2.5704,12,21.2976,0.7,3.468,0.7,0.8,0.2,0.6,2,38.2336,3.631534892,,,,,382
,,,400mm2 10kV OS,OS,400,10,61,2.907,12,24.08657143,0.7,3.468,0.7,0.8,0.2,0.6,2.2,41.42257143,4.515147857,,,,,414
,,,500mm2 10kV OS,OS,500,10,61,3.264,12,27.04457143,0.7,3.468,0.7,0.8,0.2,0.6,2.2,44.38057143,5.533119273,,,,,443
,,,630mm2 10kV OS,OS,630,10,127,2.5704,12,30.7632,0.7,3.468,0.7,0.8,0.2,0.6,2.4,48.4992,6.985833497,,,,,484
,,,,,,,,,,,,,,,,,,,,,,,,
#15kV OS,,,,OS,,15kV,,,,,,,,,,,,,,,,,,
,,,25mm2 15kV OS,OS,25,15,7,2.1828,12,6.028685714,0.7,4.59,0.7,0.8,0.2,0.6,1.8,24.80868571,0.703358978,,,,,248
,,,35mm2 15kV OS,OS,35,15,7,2.5704,12,7.0992,0.7,4.59,0.7,0.8,0.2,0.6,1.8,25.8792,0.825057292,,,,,258
,,,50mm2 15kV OS,OS,50,15,19,1.8156,12,8.35752381,0.7,4.59,0.7,0.8,0.2,0.6,1.8,27.13752381,0.979464785,,,,,271
,,,70mm2 15kV OS,OS,70,15,19,2.1828,12,10.04780952,0.7,4.59,0.7,0.8,0.2,0.6,1.8,28.82780952,1.224737387,,,,,288
,,,95mm2 15kV OS,OS,95,15,19,2.5704,12,11.832,0.7,4.59,0.7,0.8,0.2,0.6,1.8,30.612,1.522134578,,,,,306
,,,120mm2 15kV OS,OS,120,15,37,2.0706,12,13.34386667,0.7,4.59,0.7,0.8,0.2,0.6,1.9,32.32386667,1.809593482,,,,,323
,,,150mm2 15kV OS,OS,150,15,37,2.295,12,14.79,0.7,4.59,0.7,0.8,0.2,0.6,1.9,33.77,2.10607721,,,,,337
,,,185mm2 15kV OS,OS,185,15,37,2.5704,12,16.5648,0.7,4.59,0.7,0.8,0.2,0.6,2,35.7448,2.515805313,,,,,357
,,,240mm2 15kV OS,OS,240,15,61,2.295,12,19.01571429,0.7,4.59,0.7,0.8,0.2,0.6,2.1,38.39571429,3.13896074,,,,,383
,,,300mm2 15kV OS,OS,300,15,61,2.5704,12,21.2976,0.7,4.59,0.7,0.8,0.2,0.6,2.1,40.6776,3.778860842,,,,,406
,,,400mm2 15kV OS,OS,400,15,61,2.907,12,24.08657143,0.7,4.59,0.7,0.8,0.2,0.6,2.2,43.66657143,4.661086598,,,,,436
,,,500mm2 15kV OS,OS,500,15,61,3.264,12,27.04457143,0.7,4.59,0.7,0.8,0.2,0.6,2.3,46.82457143,5.702688476,,,,,468
,,,630mm2 15kV OS,OS,630,15,127,2.5704,12,30.7632,0.7,4.59,0.7,0.8,0.2,0.6,2.4,50.7432,7.155290365,,,,,507
,,,,,,,,,,,,,,,,,,,,,,,,
#20kV,,,,OS,,20kV,,,,,,,,,,,,,,,,,,
,,,35mm2 20kV OS,OS,35,20,7,2.5704,12,7.0992,0.7,5.61,0.7,0.8,0.2,0.6,1.8,27.9192,0.910459816,,,,,279
,,,50mm2 20kV OS,OS,50,20,19,1.8156,12,8.35752381,0.7,5.61,0.7,0.8,0.2,0.6,1.8,29.17752381,1.068669676,,,,,291
,,,70mm2 20kV OS,OS,70,20,19,2.1828,12,10.04780952,0.7,5.61,0.7,0.8,0.2,0.6,1.8,30.86780952,1.319049937,,,,,308
,,,95mm2 20kV OS,OS,95,20,19,2.5704,12,11.832,0.7,5.61,0.7,0.8,0.2,0.6,1.9,32.852,1.631510529,,,,,328
,,,120mm2 20kV OS,OS,120,20,37,2.0706,12,13.34386667,0.7,5.61,0.7,0.8,0.2,0.6,1.9,34.36386667,1.914468398,,,,,343
,,,150mm2 20kV OS,OS,150,20,37,2.295,12,14.79,0.7,5.61,0.7,0.8,0.2,0.6,2,36.01,2.225926583,,,,,360
,,,185mm2 20kV OS,OS,185,20,37,2.5704,12,16.5648,0.7,5.61,0.7,0.8,0.2,0.6,2,37.7848,2.631015588,,,,,377
,,,240mm2 20kV OS,OS,240,20,61,2.295,12,19.01571429,0.7,5.61,0.7,0.8,0.2,0.6,2.1,40.43571429,3.262179552,,,,,404
,,,300mm2 20kV OS,OS,300,20,61,2.5704,12,21.2976,0.7,5.61,0.7,0.8,0.2,0.6,2.2,42.9176,3.921619446,,,,,429
,,,400mm2 20kV OS,OS,400,20,61,2.907,12,24.08657143,0.7,5.61,0.7,0.8,0.2,0.6,2.3,45.90657143,4.813757943,,,,,459
,,,500mm2 20kV OS,OS,500,20,61,3.264,12,27.04457143,0.7,5.61,0.7,0.8,0.2,0.6,2.4,49.06457143,5.865833243,,,,,490
,,,630mm2 20kV OS,OS,630,20,127,2.5704,12,30.7632,0.7,5.61,0.7,0.8,0.2,0.6,2.5,52.9832,7.331431622,,,,,529
,,,,,,,,,,,,,,,,,,,,,,,,
#30kV,,,,OS,,30kV,,,,,,,,,,,,,,,,,,
,,,50mm2 30kV OS,OS,50,30,19,1.8156,12,8.35752381,0.7,8.16,0.7,0.8,0.2,0.6,2,34.67752381,1.339014318,,,,,416
,,,70mm2 30kV OS,OS,70,30,19,2.1828,12,10.04780952,0.7,8.16,0.7,0.8,0.2,0.6,2,36.36780952,1.60316204,,,,,436
,,,95mm2 30kV OS,OS,95,30,19,2.5704,12,11.832,0.7,8.16,0.7,0.8,0.2,0.6,2.1,38.352,1.931779157,,,,,460
,,,120mm2 30kV OS,OS,120,30,37,2.0706,12,13.34386667,0.7,8.16,0.7,0.8,0.2,0.6,2.1,39.86386667,2.227051256,,,,,478
,,,150mm2 30kV OS,OS,150,30,37,2.295,12,14.79,0.7,8.16,0.7,0.8,0.2,0.6,2.2,41.51,2.551912473,,,,,498
,,,185mm2 30kV OS,OS,185,30,37,2.5704,12,16.5648,0.7,8.16,0.7,0.8,0.2,0.6,2.2,43.2848,2.971457313,,,,,519
,,,240mm2 30kV OS,OS,240,30,61,2.295,12,19.01571429,0.7,8.16,0.7,0.8,0.2,0.6,2.3,45.93571429,3.6242083,,,,,551
,,,300mm2 30kV OS,OS,300,30,61,2.5704,12,21.2976,0.7,8.16,0.7,0.8,0.2,0.6,2.4,48.4176,4.303858471,,,,,581
,,,400mm2 30kV OS,OS,400,30,61,2.907,12,24.08657143,0.7,8.16,0.7,0.8,0.2,0.6,2.5,51.40657143,5.220337484,,,,,616
,,,500mm2 30kV OS,OS,500,30,61,3.264,12,27.04457143,0.7,8.16,0.7,0.8,0.2,0.6,2.6,54.56457143,6.298130046,,,,,654
,,,630mm2 30kV OS,OS,630,30,127,2.5704,12,30.7632,0.7,8.16,0.7,0.8,0.2,0.6,2.7,58.4832,7.795641044,,,,,701
